link,description,category,comment
https://github.com/Cocoon-AI/architecture-diagram-generator,Generate beautiful dark-themed system architecture diagrams as standalone HTML/SVG files.,Diagramming & Architecture,Creates visually appealing architecture diagrams and integrates as a Claude AI skill.
https://github.com/terrastruct/d2,D2 is a modern diagram scripting language that turns text into diagrams.,Diagramming & Architecture,"Enables text-to-diagram conversion, aiding visualization in software architecture and dev tools."
https://github.com/i2y/d2mcp,An MCP server enabling D2 diagram generation and manipulation via Model Context Protocol.,Diagramming & Architecture,"Integrates diagram generation with MCP, enhancing AI-driven diagram workflows."
https://github.com/jgraph/drawio,"draw.io is a JavaScript, client-side editor for general diagramming.",Diagramming & Architecture,Popular open-source diagramming tool useful for visualizing AI workflows and architectures.
https://github.com/jgraph/drawio-mcp,MCP integration server for the draw.io diagramming tool enabling collaborative editing.,Diagramming & Architecture,"Enhances draw.io with MCP for real-time collaborative diagramming, aiding AI workflows."
https://github.com/tractorjuice/arc-kit,Toolkit for Enterprise Architecture Governance and Vendor Procurement processes.,Productivity & Workflow,"Supports structured governance and procurement workflows, aiding enterprise architecture."
https://github.com/structurizr/structurizr,Structurizr is a models-as-code tool for creating software architecture diagrams using the C4 model.,Diagramming & Architecture,"Enables code-driven architecture modeling, aiding AI tools in software design visualization."
https://github.com/structurizr/structurizr/tree/master/structurizr-mcp,Structurizr is a Java-based 'models as code' tool for creating C4 software architecture diagrams.,Diagramming & Architecture,"Enables code-driven software architecture modeling, aiding AI-assisted design workflows."
https://github.com/likec4/likec4,"Visualize, collaborate, and evolve software architecture with live diagrams from your code.",Diagramming & Architecture,"Enables live, always up-to-date architecture diagrams directly from source code."
https://github.com/thedotmack/claude-mem,"A Claude Code plugin that captures, compresses, and injects coding session context using AI.",Memory & Context Management,Enables long-term AI memory by managing and reusing coding session context automatically.
https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,An AI skill providing design intelligence for building professional multi-platform UI/UX.,UI/UX & Design Tools,Leverages AI to enhance and streamline professional UI/UX design across platforms.
https://github.com/czlonkowski/n8n-skills,n8n skillset for Claude Code to build flawless n8n workflows,Productivity & Workflow,Enhances n8n automation with AI-driven workflow building via Claude Code integration.
https://github.com/kepano/kepano-obsidian,A personal Obsidian vault template for bottom-up note-taking and organizing interests.,Productivity & Workflow,"Enhances note-taking and organization within Obsidian, aiding knowledge management."
https://github.com/hkuds/lightrag,[EMNLP2025] LightRAG: Simple and Fast Retrieval-Augmented Generation in Python,RAG & Knowledge Graphs,Efficient retrieval-augmented generation combining LLMs with fast knowledge retrieval.
https://github.com/affaan-m/everything-claude-code,"Performance optimization system for AI agents like Claude Code, Codex, and Cursor.",AI Agent Skills & Frameworks,"Enhances AI agents with skills, memory, security, and research-first development."
https://github.com/obra/superpowers,An agentic skills framework and software development methodology that works.,AI Agent Skills & Frameworks,Provides a structured approach to building agentic AI skills and workflows.
https://github.com/hesreallyhim/awesome-claude-code,"A curated list of skills, hooks, commands, orchestrators, and plugins for Claude Code by Anthropic.",AI Agent Skills & Frameworks,Comprehensive resource for enhancing and orchestrating Claude-based AI coding agents.
https://github.com/gsd-build/get-shit-done,Light-weight meta-prompting and spec-driven development system for Claude Code by TÂCHES.,AI Coding Assistants & Harnesses,Enables powerful context engineering and meta-prompting for Claude Code development.
https://github.com/Pika-Labs/Pika-Skills,AI agent skills for the Pika Labs platform enabling automated video generation.,AI Agent Skills & Frameworks,Provides AI-driven skills to enhance video generation workflows on Pika Labs.
https://github.com/NousResearch/autonovel,An autonomous novel writing pipeline powered by Hermes Agent for creative storytelling.,AI Agent Skills & Frameworks,Enables fully automated novel generation using AI agent workflows.
https://gist.github.com/rohitg00/2067ab416f7bbe447c1977edaaa681e2,A GitHub Gist by rohitg00 containing code or notes (content not accessible via API).,Miscellaneous / Other,Unavailable content limits precise categorization; likely code snippet or notes.
https://share.google/V7It0oIsR5Ig8xvmt,"Google shared link with inaccessible content, no details available for summary.",Miscellaneous / Other,"Content not accessible, unable to determine relevance to AI tooling."
https://share.google/hd4tEtuikGuMnIPmF,"Google shared link with restricted access, content not publicly available.",Miscellaneous / Other,Unavailable content limits precise categorization; likely a private resource.
https://github.com/garrytan/gstack,"Use Garry Tan's exact Claude Code setup: 23 opinionated tools as CEO, Designer, Eng Manager, and more.",Productivity & Workflow,Opinionated toolset automating multiple CEO and engineering roles for streamlined workflow.
https://github.com/hyperbrowserai/hyperbrowser-app-examples/tree/main/hyperdesign,A collection of fully functional Hyperbrowser-powered web apps built with TypeScript.,AI Agent Skills & Frameworks,Showcases practical AI-powered web apps leveraging the Hyperbrowser framework.
https://github.com/Deep-unlearning/smol-audio,"Practical, Colab-friendly notebooks for fine-tuning and running audio AI models",Voice & Audio AI,Easy-to-use notebooks enabling fine-tuning and deployment of audio AI models
https://github.com/smol-machines/smolvm,"Tool to build and run portable, lightweight, self-contained virtual machines in Rust.",Developer Tools & CLI,"Enables efficient VM management, useful for AI dev environments and containerized workflows."
https://voicebox.sh/,Voicebox is a voice AI platform offering advanced voice synthesis and related services.,Voice & Audio AI,Provides AI-driven voice synthesis and voice-related capabilities for applications.
https://github.com/bmad-code-org/BMAD-METHOD,Breakthrough Method for Agile AI-Driven Development in JavaScript projects.,AI Coding Assistants & Harnesses,"Facilitates agile AI-driven development workflows, enhancing coding efficiency."
https://github.com/msitarzewski/agency-agents,A complete AI agency with specialized expert agents for diverse tasks and deliverables.,AI Agent Skills & Frameworks,Offers a suite of expert AI agents with unique personalities and workflows for varied tasks.
https://github.com/coleam00/Archon,The first open-source harness builder for AI coding to make AI coding deterministic and repeatable.,AI Coding Assistants & Harnesses,"Enables deterministic, repeatable AI coding workflows with an open-source harness."
https://openai.com/index/open-source-codex-orchestration-symphony/,OpenAI blog on open-source orchestration framework Symphony for Codex-based AI workflows.,AI Agent Skills & Frameworks,Highlights open-source orchestration enabling complex Codex AI workflow management.
